iso,Capability (C): Data institutions,Capability (C): Digital Government,Capability (C): Digital skills,Capability (C): Business use of digital tools,Capability (C): Knowledge-intensive employment,Capability (C): Government support for re-use,Capability (C): Human capital,Capability (C): Internet access,Capability (C): Open data initiative,Capability (C): Government online services,Capability (C): Political freedoms and civil liberties,Capability (C): Use of standards and methods in statistic offices,Capability (C): Sub-national,Capability(C): Civil service,Capabilities,Country Name,Region Name,Sub Region Name
AGO,50,23,24,26,13,0,53,41,0,49,32,40,0,0,22,Angola,Africa,Africa
BEN,50,40,45,47,15,0,44,11,40,51,66,25,0,0,29,Benin,Africa,Africa
BFA,50,40,32,14,17,32,29,7,72,46,56,35,0,40,35,Burkina Faso,Africa,Africa
BWA,25,20,45,33,36,16,69,63,32,36,72,40,0,20,34,Botswana,Africa,Africa
CIV,50,7,46,58,12,100,38,36,51,45,51,25,0,60,43,Côte d'Ivoire,Africa,Africa
CMR,0,20,48,39,13,18,60,24,36,47,18,35,13,30,29,Cameroon,Africa,Africa
GHA,75,47,54,49,15,34,59,46,70,64,82,50,13,39,49,Ghana,Africa,Africa
GMB,0,20,51,50,15,0,36,9,0,3,46,35,0,61,22,Gambia,Africa,Africa
KEN,0,53,59,73,15,0,58,32,0,68,48,45,0,8,30,Kenya,Africa,Africa
LBR,0,0,43,41,15,0,39,3,20,25,60,45,0,0,19,Liberia,Africa,Africa
MAR,50,67,48,52,6,0,62,81,0,52,37,50,0,4,32,Morocco,Africa,Africa
MOZ,0,27,29,33,1,0,42,10,0,52,45,40,0,0,18,Mozambique,Africa,Africa
MWI,0,27,31,18,1,0,48,6,17,42,62,30,0,17,21,Malawi,Africa,Africa
NAM,0,13,44,56,26,13,66,53,0,52,77,30,0,20,30,Namibia,Africa,Africa
NGA,50,57,40,68,44,0,45,13,80,52,47,40,57,25,44,Nigeria,Africa,Africa
RWA,50,57,49,58,10,57,53,10,72,62,22,45,4,35,42,Rwanda,Africa,Africa
SEN,50,20,53,65,5,0,33,31,0,49,71,50,0,0,27,Senegal,Africa,Africa
SLE,0,50,43,41,15,0,31,6,28,31,65,20,0,41,26,Sierra Leone,Africa,Africa
TGO,0,20,43,41,19,0,54,6,14,50,44,45,0,34,25,Togo,Africa,Africa
TUN,50,53,54,35,31,28,70,78,40,62,70,30,11,31,44,Tunisia,Africa,Africa
UGA,50,60,40,46,12,27,54,11,50,58,34,65,5,68,42,Uganda,Africa,Africa
ZAF,75,87,38,70,37,0,74,70,28,75,79,65,29,0,48,South Africa,Africa,Africa
